file,workload,predictor,ROB_config,IQ_config,sim_seconds,committed_insts,ipc,branch_predicted,branch_mispredicted,mispred_rate,branch_accuracy,branch_recovery_cycles_total,avg_recovery_penalty_cycles,squashedInstsIssued,squashedInstsExamined,squashedOperandsExamined,avg_squashed_insts_per_mispred,instsAdded,numIssuedDist_mean,L1D_accesses,L1D_misses,L1I_accesses,L1I_misses,requestToMemory_m_stall_time,requestToMemory_m_avg_stall_time,L1_mandatoryQueue_m_stall_time,L1_mandatoryQueue_m_avg_stall_time,mem_miss_latency_mean,fetch_generic,ifetch_miss_latency_mean,avg_stall_time_field,stall_time_generic,m_stall_count_any,squash_generic,IQ_full_count
results/stats_fft_gshare_ROB256_numIQEntries128.txt,fft,gshare,256,128,0.009191,33875357,1.227334,11969882,451056,0.037682576987809906,0.9623174230121901,,,369384,5782648,10161624,12.82024404951935,69539735,2.435043,2,3,2,1,,,,,21.669238,92201145.008831,16.228518,7997,235368.507687,1,39085675,14946
results/stats_fft_local_ROB128_numIQEntries64.txt,fft,local,128,64,0.009556,33875357,1.18049,12439727,697258,0.05605090851270289,0.9439490914872971,,,204451,6248514,10537983,8.961552251820704,70005601,2.37491,2,3,15,1,,,,,22.134502,95257027.141466,16.476674,5998,199781.896835,1,44112767,322148
results/stats_fft_local_ROB128_numIQEntries128.txt,fft,local,128,128,0.009571,33875357,1.178564,12467888,697258,0.05592430730850325,0.9440756926914967,,,251871,6515088,11115559,9.343869844447823,70272175,2.371968,2,3,15,1,,,,,22.130245,95680776.06469999,16.479505,5997,199780.896835,1,44636138,0
results/stats_fft_local_ROB256_numIQEntries64.txt,fft,local,256,64,0.009556,33875357,1.180485,12441117,697279,0.056046334103280276,0.9439536658967197,,,205972,6266182,10565262,8.986620850477356,70023269,2.375317,2,3,15,1,,,,,22.226642,95260513.766561,16.460826,5332,198672.685543,1,44198456,342333
results/stats_fft_local_ROB256_numIQEntries128.txt,fft,local,256,128,0.00959,33875357,1.176224,12486125,697283,0.055844627536565584,0.9441553724634344,,,408922,7284277,12750362,10.446657956668956,71041364,2.374126,2,3,30,1,,,,,22.124979,95853886.715863,16.472251,7329,198700.315424,1,46236341,15610
results/stats_fft_tournament_ROB128_numIQEntries64.txt,fft,tournament,128,64,0.00892,33875357,1.264566,11693213,334000,0.02856357786350082,0.9714364221364992,,,149648,3898964,6828590,11.673544910179642,67656051,2.477011,2,3,15,1,,,,,22.006781,88877695.274916,16.433649,7664,238188.422967,1,33461464,321725
results/stats_fft_tournament_ROB128_numIQEntries128.txt,fft,tournament,128,128,0.00893,33875357,1.26325,11709173,334002,0.028524815544189158,0.9714751844558108,,,189507,4137390,7362868,12.387321034005785,67894477,2.475671,2,3,15,1,,,,,21.988434,89164390.536384,16.40672,7332,233853.317621,1,33909444,0
results/stats_fft_tournament_ROB256_numIQEntries64.txt,fft,tournament,256,64,0.008917,33875357,1.265087,11694323,334017,0.02856232036689939,0.9714376796331006,,,150533,3910439,6851045,11.707305316795253,67667526,2.478087,2,3,15,1,,,,,21.977831,88861011.594383,16.485608,6332,232597.000949,1,33493359,339564
results/stats_fft_tournament_ROB256_numIQEntries128.txt,fft,tournament,256,128,0.008951,33875357,1.260225,11733986,334030,0.028466882438755253,0.9715331175612447,,,359820,5034472,9262796,15.071915696194953,68791559,2.47815,2,3,30,1,,,,,22.128049,89428720.64776799,16.428544,7664,234970.417614,1,35829856,15437
results/stats_quicksort_large_bimode_ROB128_numIQEntries64.txt,quicksort_large,bimode,128,64,0.022412,100000002,1.485817,43723904,472281,0.010801437126931757,0.9891985628730683,,,2077,2751176,3595037,5.825294686849566,181494905,2.693949,2,3,2,1,,,,,103.12924,223751951.573816,165.574468,28646,3211.262253,3,63940825,561
results/stats_quicksort_large_bimode_ROB128_numIQEntries128.txt,quicksort_large,bimode,128,128,0.022412,100000002,1.485817,43723959,472281,0.010801423539894913,0.9891985764601051,,,2124,2751513,3595977,5.8260082450913755,181495242,2.69395,2,3,2,1,,,,,103.224364,223752247.425549,167.849882,28647,3212.262253,3,63941499,0
results/stats_quicksort_large_bimode_ROB256_numIQEntries64.txt,quicksort_large,bimode,256,64,0.022235,100000002,1.497616,43735283,472585,0.010805577729998912,0.9891944222700011,,,3612,2803258,3663431,5.931754075986331,181546987,2.715705,2,3,11,1,,,,,103.324826,222724796.85103998,159.189635,32309,3217.424144,3,63571692,203360
results/stats_quicksort_large_bimode_ROB256_numIQEntries128.txt,quicksort_large,bimode,256,128,0.02222,100000002,1.498622,43742264,472624,0.010804744811562565,0.9891952551884374,,,5117,2832518,3719593,5.993174278073056,181576247,2.717768,2,3,11,1,,,,,104.948212,222645740.38696,160.022406,26981,3248.189128,3,63612525,1090
results/stats_quicksort_large_gshare_ROB128_numIQEntries64.txt,quicksort_large,gshare,128,64,0.022408,100000002,1.486097,43723207,472026,0.010795777171605916,0.989204222828394,,,2012,2749011,3591559,5.823855041883286,181492740,2.694389,2,3,2,1,,,,,102.559744,223731951.44316602,161.365998,26981,3211.188866,3,63922834,562
results/stats_quicksort_large_gshare_ROB128_numIQEntries128.txt,quicksort_large,gshare,128,128,0.022408,100000002,1.486097,43723260,472036,0.010795992796511514,0.9892040072034884,,,2057,2749346,3592478,5.82444135616775,181493075,2.694354,2,3,2,1,,,,,102.57416,223734001.730531,161.567887,26982,3249.188866,3,63924290,0
results/stats_quicksort_large_gshare_ROB256_numIQEntries64.txt,quicksort_large,gshare,256,64,0.022236,100000002,1.497569,43734551,472322,0.010799745034538025,0.9892002549654619,,,3538,2801008,3659290,5.930293316847405,181544737,2.715582,2,3,11,1,,,,,103.414055,222728459.40825298,157.189412,29312,3217.292007,3,63566849,203395
results/stats_quicksort_large_gshare_ROB256_numIQEntries128.txt,quicksort_large,gshare,256,128,0.02222,100000002,1.498622,43741511,472351,0.010798689601737809,0.9892013103982622,,,5060,2830082,3715402,5.991480911440856,181573811,2.71774,2,3,11,1,,,,,104.952785,222644493.45591298,157.797409,27980,3217.23317,3,63604947,1084
results/stats_quicksort_large_local_ROB128_numIQEntries64.txt,quicksort_large,local,128,64,0.022946,100000002,1.451203,44670467,658467,0.014740544351148153,0.9852594556488519,,,2314,5759127,5841756,8.746265188688271,184502856,2.668532,2,3,2,1,,,,,101.037134,229335301.597793,157.948718,26648,2399.175796,3,74960282,601
results/stats_quicksort_large_local_ROB128_numIQEntries128.txt,quicksort_large,local,128,128,0.022948,100000002,1.451084,44670572,658409,0.014739211308957494,0.9852607886910425,,,2328,5759525,5842942,8.74764014465173,184503254,2.668374,2,3,2,1,,,,,101.226522,229343952.32209998,159.47619,28313,2196.249283,3,74965375,0
results/stats_quicksort_large_local_ROB256_numIQEntries64.txt,quicksort_large,local,256,64,0.022931,100000002,1.452206,44819879,658469,0.014691449747108867,0.9853085502528911,,,162987,6431102,7731071,9.766749839400184,185174831,2.672896,2,3,2,1,,,,,112.329862,229563794.823105,161.142857,31643,2230.396319,3,76754440,227069
results/stats_quicksort_large_local_ROB256_numIQEntries128.txt,quicksort_large,local,256,128,0.022929,100000002,1.452329,44850102,658474,0.014681661147615674,0.9853183388523843,,,197599,6634101,8320474,10.074962716827088,185377830,2.674025,2,3,18,1,,,,,113.038306,229563532.53564999,159.166056,27648,3350.219888,3,77446908,1180
results/stats_quicksort_large_tournament_ROB128_numIQEntries64.txt,quicksort_large,tournament,128,64,0.022192,100000002,1.500528,43183438,256082,0.005930097552677487,0.9940699024473225,,,825,1017426,993885,3.973047695659984,179761155,2.698658,2,3,2,1,,,,,106.656555,222679643.902196,160.958231,27314,2283.205456,3,57912678,550
results/stats_quicksort_large_tournament_ROB128_numIQEntries128.txt,quicksort_large,tournament,128,128,0.022196,100000002,1.50029,43183491,256169,0.005932104933341308,0.9940678950666587,,,869,1017742,994528,3.9729319316544935,179761471,2.698128,2,3,2,1,,,,,107.089829,222706155.65458602,157.044226,27978,2588.234858,3,57926197,0
results/stats_quicksort_large_tournament_ROB256_numIQEntries64.txt,quicksort_large,tournament,256,64,0.021997,100000002,1.513859,43193481,256094,0.00592899655390127,0.9940710034460988,,,1795,1066942,1056343,4.166212406382032,179810671,2.723026,2,3,29,1,,,,,105.000393,221530909.524859,159.432964,29976,3285.3234709999997,3,57469611,203898
