run_path,workload,predictor,ROB,IQEntries,sim_seconds,committed_insts,ipc,branch_predicted,branch_mispredicted,mispred_rate
results/stats_basicmath_bimode_ROB128_numIQEntries128.txt,basicmath,bimode,128,128,0.015627,54044264,1.151658,11488635,153007,0.013318118296908205
results/stats_basicmath_bimode_ROB128_numIQEntries64.txt,basicmath,bimode,128,64,0.015627,54044264,1.151653,11488714,153007,0.01331802671735061
results/stats_basicmath_bimode_ROB256_numIQEntries128.txt,basicmath,bimode,256,128,0.015623,54044264,1.151932,11489885,153035,0.01331910632699979
results/stats_basicmath_bimode_ROB256_numIQEntries64.txt,basicmath,bimode,256,64,0.015624,54044264,1.151831,11489769,153019,0.013317848252649814
results/stats_basicmath_gshare_ROB128_numIQEntries128.txt,basicmath,gshare,128,128,0.015705,54044264,1.1459,11535361,169711,0.01471224004172908
results/stats_basicmath_gshare_ROB128_numIQEntries64.txt,basicmath,gshare,128,64,0.015705,54044264,1.145891,11535440,169711,0.014712139285540908
results/stats_basicmath_gshare_ROB256_numIQEntries128.txt,basicmath,gshare,256,128,0.0157,54044264,1.146309,11536729,169731,0.014712229090238662
results/stats_basicmath_gshare_ROB256_numIQEntries64.txt,basicmath,gshare,256,64,0.015702,54044264,1.14615,11536571,169721,0.01471156377401916
results/stats_basicmath_local_ROB128_numIQEntries128.txt,basicmath,local,128,128,0.016228,54044264,1.108995,11947994,318857,0.02668707399752628
results/stats_basicmath_local_ROB128_numIQEntries64.txt,basicmath,local,128,64,0.016226,54044264,1.1091,11945945,318836,0.026689893516168038
results/stats_basicmath_local_ROB256_numIQEntries128.txt,basicmath,local,256,128,0.016224,54044264,1.109234,11952095,318863,0.026678419139071433
results/stats_basicmath_local_ROB256_numIQEntries64.txt,basicmath,local,256,64,0.016225,54044264,1.10923,11946353,318841,0.026689400522485817
results/stats_basicmath_tournament_ROB128_numIQEntries128.txt,basicmath,tournament,128,128,0.015477,54044264,1.162839,11121900,80208,0.007211717422382866
results/stats_basicmath_tournament_ROB128_numIQEntries64.txt,basicmath,tournament,128,64,0.01548,54044264,1.162594,11121825,80207,0.00721167614128077
results/stats_basicmath_tournament_ROB256_numIQEntries128.txt,basicmath,tournament,256,128,0.015475,54044264,1.162943,11123113,80214,0.007211470386033119
results/stats_basicmath_tournament_ROB256_numIQEntries64.txt,basicmath,tournament,256,64,0.015478,54044264,1.162736,11122194,80212,0.007211886431759777
results/stats_dijkstra_small_bimode_ROB128_numIQEntries128.txt,dijkstra_small,bimode,128,128,0.011968,42891612,1.193452,10326380,57216,0.005540760653781868
results/stats_dijkstra_small_bimode_ROB128_numIQEntries64.txt,dijkstra_small,bimode,128,64,0.01196,42891612,1.194176,10267581,57215,0.005572393341722846
results/stats_dijkstra_small_bimode_ROB256_numIQEntries128.txt,dijkstra_small,bimode,256,128,0.011994,42891612,1.190801,10445981,57239,0.005479523656035752
